label,tags
person,People/Person
man,People/Man
woman,People/Woman
child,People/Child
baby,People/Baby
boy,People/Boy
girl,People/Girl
family,People/Family
group,People/Group
crowd,People/Crowd
couple,People/Couple
friends,People/Friends
kids,People/Kids
children,People/Children
portrait,People/Portrait
selfie,People/Selfie
birthday,Life/Events/Birthday
birthday party,Life/Events/Birthday party
wedding,Life/Events/Wedding
anniversary,Life/Events/Anniversary
holiday gathering,Life/Events/Holiday gathering
vacation,Life/Events/Vacation
travel,Life/Events/Travel
celebration,Life/Events/Celebration
party,Life/Events/Party
graduation,Life/Events/Graduation
christmas,Life/Events/Christmas
christmas tree,Life/Events/Christmas tree
halloween,Life/Events/Halloween
costume,Life/Events/Costume
school event,Life/Events/School event
family gathering,Life/Events/Family gathering
indoor,Places/Indoor/Indoor
home,Places/Indoor/Home
living room,Places/Indoor/Living room
kitchen,Places/Indoor/Kitchen
bedroom,Places/Indoor/Bedroom
office,Places/Indoor/Office
restaurant,Places/Indoor/Restaurant
hotel room,Places/Indoor/Hotel room
classroom,Places/Indoor/Classroom
hospital room,Places/Indoor/Hospital room
store,Places/Indoor/Store
church,Places/Indoor/Church
garage,Places/Indoor/Garage
patio,Places/Indoor/Patio
outdoor,Places/Outdoor/Outdoor
beach,Places/Outdoor/Beach
harbor,Places/Outdoor/Harbor
marina,Places/Outdoor/Marina
dock,Places/Outdoor/Dock
park,Places/Outdoor/Park
city,Places/Outdoor/City
street,Places/Outdoor/Street
building,Places/Outdoor/Building
sidewalk,Places/Outdoor/Sidewalk
parking lot,Places/Outdoor/Parking lot
road,Places/Outdoor/Road
tourist attraction,Places/Outdoor/Tourist attraction
city view,Places/Outdoor/City view
harbor view,Places/Outdoor/Harbor view
boat,Water/Marine/Boat|Travel/Cruise/Boat
ship,Water/Marine/Ship|Travel/Cruise/Ship
cruise ship,Water/Marine/Cruise ship|Travel/Cruise/Cruise ship
yacht,Water/Marine/Yacht|Travel/Cruise/Yacht
sailboat,Water/Marine/Sailboat|Travel/Cruise/Sailboat
