term,total_count,doc_count,doc_pct,action,reason
las,18,1,0.50,skip,rare docs<2
water,17,17,8.50,skip,already in label list
bird,13,13,6.50,skip,already in label list
table,13,12,6.00,skip,already in label list
tree,12,12,6.00,add,new candidate
body,9,9,4.50,add,new candidate
building,9,9,4.50,skip,already in label list
plate,9,8,4.00,skip,already in label list
food,8,8,4.00,skip,already in label list
sign,8,8,4.00,skip,already in label list
sky,8,8,4.00,skip,already in label list
baby,8,7,3.50,skip,already in label list
kitchen,7,6,3.00,skip,already in label list
boat,6,6,3.00,skip,already in label list
hill,6,6,3.00,add,new candidate
car,6,5,2.50,skip,already in label list
flower,5,5,2.50,add,new candidate
house,5,5,2.50,add,new candidate
mountain,5,5,2.50,add,new candidate
animal,4,4,2.00,skip,already in label list
clear sky,4,4,2.00,add,new candidate
couch,4,4,2.00,skip,already in label list
fence,4,4,2.00,add,new candidate
ocean,4,4,2.00,skip,already in label list
shirt,4,4,2.00,add,new candidate
toy,4,4,2.00,skip,already in label list
airplane,3,3,1.50,skip,already in label list
christma,3,3,1.50,add,new candidate
christma tree,3,3,1.50,add,new candidate
city,3,3,1.50,skip,already in label list
dog,3,3,1.50,add,new candidate
field,3,3,1.50,add,new candidate
glass,3,3,1.50,skip,already in label list
grass,3,3,1.50,skip,already in label list
leaf,3,3,1.50,add,new candidate
park,3,3,1.50,skip,already in label list
rock,3,3,1.50,add,new candidate
seat,3,3,1.50,add,new candidate
wood,3,3,1.50,add,new candidate
air,2,2,1.00,skip,rare total<3
beach,2,2,1.00,skip,"rare total<3, already in label list"
bed,2,2,1.00,skip,"rare total<3, already in label list"
bench,2,2,1.00,skip,rare total<3
blanket,2,2,1.00,skip,"rare total<3, already in label list"
branch,2,2,1.00,skip,rare total<3
brick,2,2,1.00,skip,rare total<3
brick wall,2,2,1.00,skip,rare total<3
camera,2,2,1.00,skip,"rare total<3, already in label list"
chair,2,2,1.00,skip,"rare total<3, already in label list"
clock,2,2,1.00,skip,"rare total<3, already in label list"
costume,2,2,1.00,skip,"rare total<3, already in label list"
cup,2,2,1.00,skip,rare total<3
desk,2,2,1.00,skip,rare total<3
display,2,2,1.00,skip,rare total<3
drone,2,2,1.00,skip,rare total<3
fire,2,2,1.00,skip,rare total<3
forest,2,2,1.00,skip,rare total<3
ground,2,2,1.00,skip,rare total<3
hair,2,2,1.00,skip,rare total<3
harbor,2,2,1.00,skip,"rare total<3, already in label list"
hat,2,2,1.00,skip,rare total<3
laptop,2,2,1.00,skip,"rare total<3, already in label list"
mountain range,2,2,1.00,skip,rare total<3
painting,2,2,1.00,skip,rare total<3
palm,2,2,1.00,skip,rare total<3
palm tree,2,2,1.00,skip,rare total<3
pan,2,2,1.00,skip,rare total<3
parking,2,2,1.00,skip,rare total<3
parking lot,2,2,1.00,skip,"rare total<3, already in label list"
plane,2,2,1.00,skip,rare total<3
pocket,2,2,1.00,skip,rare total<3
range,2,2,1.00,skip,rare total<3
restaurant,2,2,1.00,skip,"rare total<3, already in label list"
screen,2,2,1.00,skip,rare total<3
sculpture,2,2,1.00,skip,rare total<3
ship,2,2,1.00,skip,"rare total<3, already in label list"
shore,2,2,1.00,skip,rare total<3
sidewalk,2,2,1.00,skip,"rare total<3, already in label list"
snow,2,2,1.00,skip,rare total<3
statue,2,2,1.00,skip,rare total<3
stone,2,2,1.00,skip,rare total<3
store,2,2,1.00,skip,"rare total<3, already in label list"
street,2,2,1.00,skip,"rare total<3, already in label list"
suit,2,2,1.00,skip,rare total<3
tv screen,2,2,1.00,skip,rare total<3
window,2,2,1.00,skip,"rare total<3, already in label list"
bike,2,1,0.50,skip,"rare total<3, rare docs<2"
lobster,2,1,0.50,skip,"rare total<3, rare docs<2"
roasting,2,1,0.50,skip,"rare total<3, rare docs<2"
air force command logo,1,1,0.50,skip,"rare total<3, rare docs<2"
anniversary,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
arm,1,1,0.50,skip,"rare total<3, rare docs<2"
baby seat,1,1,0.50,skip,"rare total<3, rare docs<2"
balcony,1,1,0.50,skip,"rare total<3, rare docs<2"
band,1,1,0.50,skip,"rare total<3, rare docs<2"
basketball,1,1,0.50,skip,"rare total<3, rare docs<2"
basketball court,1,1,0.50,skip,"rare total<3, rare docs<2"
belt,1,1,0.50,skip,"rare total<3, rare docs<2"
bike handle,1,1,0.50,skip,"rare total<3, rare docs<2"
blackboard,1,1,0.50,skip,"rare total<3, rare docs<2"
board,1,1,0.50,skip,"rare total<3, rare docs<2"
book,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
boot,1,1,0.50,skip,"rare total<3, rare docs<2"
box,1,1,0.50,skip,"rare total<3, rare docs<2"
broken seat,1,1,0.50,skip,"rare total<3, rare docs<2"
bus,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
bush,1,1,0.50,skip,"rare total<3, rare docs<2"
candy,1,1,0.50,skip,"rare total<3, rare docs<2"
canva,1,1,0.50,skip,"rare total<3, rare docs<2"
car dashboard,1,1,0.50,skip,"rare total<3, rare docs<2"
car seat,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
case,1,1,0.50,skip,"rare total<3, rare docs<2"
cell,1,1,0.50,skip,"rare total<3, rare docs<2"
cheese,1,1,0.50,skip,"rare total<3, rare docs<2"
chef,1,1,0.50,skip,"rare total<3, rare docs<2"
child s hair,1,1,0.50,skip,"rare total<3, rare docs<2"
church,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
class,1,1,0.50,skip,"rare total<3, rare docs<2"
close,1,1,0.50,skip,"rare total<3, rare docs<2"
cloth,1,1,0.50,skip,"rare total<3, rare docs<2"
clothing,1,1,0.50,skip,"rare total<3, rare docs<2"
coffee,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
comet,1,1,0.50,skip,"rare total<3, rare docs<2"
command,1,1,0.50,skip,"rare total<3, rare docs<2"
computer,1,1,0.50,skip,"rare total<3, rare docs<2"
container,1,1,0.50,skip,"rare total<3, rare docs<2"
container ship,1,1,0.50,skip,"rare total<3, rare docs<2"
convey,1,1,0.50,skip,"rare total<3, rare docs<2"
court,1,1,0.50,skip,"rare total<3, rare docs<2"
crane,1,1,0.50,skip,"rare total<3, rare docs<2"
crowd,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
dashboard,1,1,0.50,skip,"rare total<3, rare docs<2"
dead tree,1,1,0.50,skip,"rare total<3, rare docs<2"
deck,1,1,0.50,skip,"rare total<3, rare docs<2"
diagram,1,1,0.50,skip,"rare total<3, rare docs<2"
dinosaur,1,1,0.50,skip,"rare total<3, rare docs<2"
dish,1,1,0.50,skip,"rare total<3, rare docs<2"
display case,1,1,0.50,skip,"rare total<3, rare docs<2"
dji,1,1,0.50,skip,"rare total<3, rare docs<2"
dji spark drone,1,1,0.50,skip,"rare total<3, rare docs<2"
dock,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
door,1,1,0.50,skip,"rare total<3, rare docs<2"
doorway,1,1,0.50,skip,"rare total<3, rare docs<2"
dress,1,1,0.50,skip,"rare total<3, rare docs<2"
drink,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
duck,1,1,0.50,skip,"rare total<3, rare docs<2"
factory,1,1,0.50,skip,"rare total<3, rare docs<2"
fire hydra,1,1,0.50,skip,"rare total<3, rare docs<2"
fire truck costume,1,1,0.50,skip,"rare total<3, rare docs<2"
flaming,1,1,0.50,skip,"rare total<3, rare docs<2"
foot,1,1,0.50,skip,"rare total<3, rare docs<2"
force,1,1,0.50,skip,"rare total<3, rare docs<2"
frc,1,1,0.50,skip,"rare total<3, rare docs<2"
fuck,1,1,0.50,skip,"rare total<3, rare docs<2"
garden,1,1,0.50,skip,"rare total<3, rare docs<2"
google,1,1,0.50,skip,"rare total<3, rare docs<2"
google street,1,1,0.50,skip,"rare total<3, rare docs<2"
gun,1,1,0.50,skip,"rare total<3, rare docs<2"
handle,1,1,0.50,skip,"rare total<3, rare docs<2"
hong,1,1,0.50,skip,"rare total<3, rare docs<2"
hong racecourse,1,1,0.50,skip,"rare total<3, rare docs<2"
hydra,1,1,0.50,skip,"rare total<3, rare docs<2"
interior,1,1,0.50,skip,"rare total<3, rare docs<2"
island,1,1,0.50,skip,"rare total<3, rare docs<2"
jar,1,1,0.50,skip,"rare total<3, rare docs<2"
koala,1,1,0.50,skip,"rare total<3, rare docs<2"
lake,1,1,0.50,skip,"rare total<3, rare docs<2"
las las las las las las las las las las las las las las las las las las,1,1,0.50,skip,"rare total<3, rare docs<2"
library,1,1,0.50,skip,"rare total<3, rare docs<2"
logo,1,1,0.50,skip,"rare total<3, rare docs<2"
long blonde hair,1,1,0.50,skip,"rare total<3, rare docs<2"
machine,1,1,0.50,skip,"rare total<3, rare docs<2"
marina,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
meat,1,1,0.50,skip,"rare total<3, rare docs<2"
microphone,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
monitor,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
motorcycle,1,1,0.50,skip,"rare total<3, rare docs<2"
mound,1,1,0.50,skip,"rare total<3, rare docs<2"
muddy field,1,1,0.50,skip,"rare total<3, rare docs<2"
oil,1,1,0.50,skip,"rare total<3, rare docs<2"
oil pump,1,1,0.50,skip,"rare total<3, rare docs<2"
pair,1,1,0.50,skip,"rare total<3, rare docs<2"
paper,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
penguin,1,1,0.50,skip,"rare total<3, rare docs<2"
plant,1,1,0.50,skip,"rare total<3, rare docs<2"
playground,1,1,0.50,skip,"rare total<3, rare docs<2"
pocket watch,1,1,0.50,skip,"rare total<3, rare docs<2"
pump,1,1,0.50,skip,"rare total<3, rare docs<2"
racecourse,1,1,0.50,skip,"rare total<3, rare docs<2"
reflection,1,1,0.50,skip,"rare total<3, rare docs<2"
restaurant kitchen,1,1,0.50,skip,"rare total<3, rare docs<2"
river,1,1,0.50,skip,"rare total<3, rare docs<2"
roasting pan,1,1,0.50,skip,"rare total<3, rare docs<2"
roasting turkey,1,1,0.50,skip,"rare total<3, rare docs<2"
rock wall,1,1,0.50,skip,"rare total<3, rare docs<2"
rocky,1,1,0.50,skip,"rare total<3, rare docs<2"
rocky hill,1,1,0.50,skip,"rare total<3, rare docs<2"
sailing,1,1,0.50,skip,"rare total<3, rare docs<2"
salad,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
san,1,1,0.50,skip,"rare total<3, rare docs<2"
sandwich,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
santa,1,1,0.50,skip,"rare total<3, rare docs<2"
santa hat,1,1,0.50,skip,"rare total<3, rare docs<2"
skateboarding,1,1,0.50,skip,"rare total<3, rare docs<2"
snow mountain,1,1,0.50,skip,"rare total<3, rare docs<2"
soccer,1,1,0.50,skip,"rare total<3, rare docs<2"
spark,1,1,0.50,skip,"rare total<3, rare docs<2"
speed,1,1,0.50,skip,"rare total<3, rare docs<2"
stage,1,1,0.50,skip,"rare total<3, rare docs<2"
stone bench,1,1,0.50,skip,"rare total<3, rare docs<2"
sunglass,1,1,0.50,skip,"rare total<3, rare docs<2"
sweater,1,1,0.50,skip,"rare total<3, rare docs<2"
table cloth,1,1,0.50,skip,"rare total<3, rare docs<2"
taco,1,1,0.50,skip,"rare total<3, rare docs<2"
taco sandwich,1,1,0.50,skip,"rare total<3, rare docs<2"
tall building,1,1,0.50,skip,"rare total<3, rare docs<2"
target,1,1,0.50,skip,"rare total<3, rare docs<2"
teacher,1,1,0.50,skip,"rare total<3, rare docs<2"
toilet,1,1,0.50,skip,"rare total<3, rare docs<2"
tomato,1,1,0.50,skip,"rare total<3, rare docs<2"
tooth,1,1,0.50,skip,"rare total<3, rare docs<2"
town,1,1,0.50,skip,"rare total<3, rare docs<2"
toy train,1,1,0.50,skip,"rare total<3, rare docs<2"
track,1,1,0.50,skip,"rare total<3, rare docs<2"
traditional chinese clothing,1,1,0.50,skip,"rare total<3, rare docs<2"
train,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
tree branch,1,1,0.50,skip,"rare total<3, rare docs<2"
trick,1,1,0.50,skip,"rare total<3, rare docs<2"
truck,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
turkey,1,1,0.50,skip,"rare total<3, rare docs<2"
ugly ugly sweater,1,1,0.50,skip,"rare total<3, rare docs<2"
vest,1,1,0.50,skip,"rare total<3, rare docs<2"
watch,1,1,0.50,skip,"rare total<3, rare docs<2"
whale,1,1,0.50,skip,"rare total<3, rare docs<2"
wine,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
wooden floor,1,1,0.50,skip,"rare total<3, rare docs<2, already in label list"
wooden table,1,1,0.50,skip,"rare total<3, rare docs<2"
wooden toy car,1,1,0.50,skip,"rare total<3, rare docs<2"
word,1,1,0.50,skip,"rare total<3, rare docs<2"
work,1,1,0.50,skip,"rare total<3, rare docs<2"
work anniversary,1,1,0.50,skip,"rare total<3, rare docs<2"
zoo,1,1,0.50,skip,"rare total<3, rare docs<2"
