term,total_count,doc_count,doc_pct,action,reason
table,2063,2051,9.38,skip,already in label list
water,1404,1390,6.36,skip,already in label list
boat,1114,1087,4.97,skip,already in label list
baby,1050,1029,4.71,skip,already in label list
bird,1010,995,4.55,skip,already in label list
food,894,893,4.08,skip,already in label list
tree,746,745,3.41,add,new candidate
car,727,714,3.27,skip,already in label list
plate,709,705,3.22,skip,already in label list
couch,561,560,2.56,skip,already in label list
building,555,552,2.52,skip,already in label list
chair,504,502,2.30,skip,already in label list
gmt,499,313,1.43,add,new candidate
mar,499,313,1.43,add,new candidate
multcloud,499,313,1.43,add,new candidate
body,475,475,2.17,add,new candidate
sky,446,443,2.03,skip,already in label list
sign,425,417,1.91,skip,already in label list
toy,417,413,1.89,skip,already in label list
shirt,416,408,1.87,add,new candidate
bed,413,410,1.88,skip,already in label list
thu,393,222,1.02,add,new candidate
city,387,386,1.77,skip,already in label list
glass,386,381,1.74,skip,already in label list
beach,361,360,1.65,skip,already in label list
tram,321,13,0.06,add,new candidate
house,303,302,1.38,add,new candidate
flower,292,291,1.33,add,new candidate
bowl,291,278,1.27,skip,already in label list
dog,285,273,1.25,add,new candidate
field,276,274,1.25,add,new candidate
street,271,266,1.22,skip,already in label list
pool,268,257,1.18,add,new candidate
mountain,267,266,1.22,add,new candidate
ocean,262,261,1.19,skip,already in label list
self,259,11,0.05,add,new candidate
branch,253,253,1.16,add,new candidate
box,248,240,1.10,add,new candidate
window,244,242,1.11,skip,already in label list
rock,244,241,1.10,add,new candidate
parking,242,231,1.06,add,new candidate
bench,240,239,1.09,add,new candidate
piece,240,236,1.08,add,new candidate
col,232,65,0.30,add,new candidate
plane,215,213,0.97,add,new candidate
display,212,208,0.95,add,new candidate
restaurant,211,208,0.95,skip,already in label list
sidewalk,209,209,0.96,skip,already in label list
thu mar,209,143,0.65,add,new candidate
statue,196,196,0.90,add,new candidate
living,194,194,0.89,add,new candidate
living room,194,194,0.89,skip,already in label list
hat,194,191,0.87,add,new candidate
suit,194,190,0.87,add,new candidate
grass,193,193,0.88,skip,already in label list
stage,192,183,0.84,add,new candidate
arm,191,191,0.87,add,new candidate
cake,186,185,0.85,skip,already in label list
ground,182,181,0.83,add,new candidate
ship,180,171,0.78,skip,already in label list
kitchen,178,176,0.80,skip,already in label list
road,174,174,0.80,skip,already in label list
hair,173,169,0.77,add,new candidate
hospital,172,171,0.78,add,new candidate
hill,168,166,0.76,add,new candidate
screen,168,160,0.73,add,new candidate
fence,163,163,0.75,add,new candidate
book,163,155,0.71,skip,already in label list
parking lot,161,157,0.72,skip,already in label list
animal,154,153,0.70,skip,already in label list
plant,150,150,0.69,add,new candidate
door,145,142,0.65,add,new candidate
clock,142,135,0.62,skip,already in label list
camera,140,138,0.63,skip,already in label list
harbor,138,138,0.63,skip,already in label list
dress,136,136,0.62,add,new candidate
river,134,134,0.61,add,new candidate
painting,132,131,0.60,add,new candidate
couple,129,129,0.59,skip,already in label list
cell,128,126,0.58,add,new candidate
night,128,126,0.58,add,new candidate
snow,127,119,0.54,add,new candidate
cruise,126,108,0.49,add,new candidate
close,124,124,0.57,add,new candidate
bag,124,123,0.56,add,new candidate
seat,123,118,0.54,add,new candidate
laptop,120,118,0.54,skip,already in label list
balcony,119,118,0.54,add,new candidate
store,119,118,0.54,skip,already in label list
fish,116,110,0.50,add,new candidate
train,114,103,0.47,skip,already in label list
hospital bed,113,113,0.52,skip,already in label list
dock,113,111,0.51,skip,already in label list
wood,111,108,0.49,add,new candidate
dirt,110,109,0.50,add,new candidate
blanket,109,108,0.49,skip,already in label list
counter,109,106,0.48,skip,already in label list
truck,109,106,0.48,skip,already in label list
lake,108,108,0.49,add,new candidate
metal,106,102,0.47,add,new candidate
costume,106,100,0.46,skip,already in label list
fri,106,91,0.42,add,new candidate
che,106,6,0.03,add,new candidate
television,102,101,0.46,skip,already in label list
mask,101,100,0.46,add,new candidate
park,99,99,0.45,skip,already in label list
cruise ship,98,98,0.45,skip,already in label list
duck,98,95,0.43,add,new candidate
thu mar gmt,98,91,0.42,add,new candidate
computer,97,97,0.44,add,new candidate
bike,97,94,0.43,add,new candidate
cup,95,95,0.43,add,new candidate
palm,95,95,0.43,add,new candidate
marina,95,92,0.42,skip,already in label list
monitor,95,55,0.25,skip,already in label list
crowd,94,94,0.43,skip,already in label list
family,94,94,0.43,skip,already in label list
leaf,94,93,0.43,add,new candidate
roof,94,93,0.43,add,new candidate
christma,93,93,0.43,add,new candidate
bridge,93,92,0.42,skip,already in label list
church,93,92,0.42,skip,already in label list
swimming,93,92,0.42,skip,already in label list
cat,91,90,0.41,add,new candidate
desk,90,90,0.41,add,new candidate
palm tree,89,89,0.41,add,new candidate
garden,88,87,0.40,add,new candidate
paper,88,86,0.39,skip,already in label list
airplane,85,85,0.39,skip,already in label list
wine,85,84,0.38,skip,already in label list
clear sky,84,84,0.38,add,new candidate
pile,84,84,0.38,add,new candidate
game,84,83,0.38,add,new candidate
sunglass,84,83,0.38,add,new candidate
brick,83,83,0.38,add,new candidate
kid,83,83,0.38,add,new candidate
bear,83,82,0.38,add,new candidate
pizza,81,77,0.35,skip,already in label list
ball,79,76,0.35,add,new candidate
high chair,77,77,0.35,skip,already in label list
machine,77,77,0.35,add,new candidate
fire,76,74,0.34,add,new candidate
pond,75,74,0.34,add,new candidate
goat,72,71,0.32,add,new candidate
bush,72,70,0.32,add,new candidate
sink,72,65,0.30,add,new candidate
tri,72,3,0.01,add,new candidate
ice,70,65,0.30,add,new candidate
toilet,70,59,0.27,add,new candidate
forest,67,67,0.31,add,new candidate
meat,67,66,0.30,add,new candidate
baseball,67,60,0.27,skip,already in label list
stone,66,65,0.30,add,new candidate
poster,65,65,0.30,skip,already in label list
sand,65,65,0.30,add,new candidate
pot,65,61,0.28,add,new candidate
coffee,64,60,0.27,skip,already in label list
umbrella,63,62,0.28,add,new candidate
yard,63,62,0.28,add,new candidate
mirror,62,62,0.28,skip,already in label list
drink,62,61,0.28,skip,already in label list
tower,62,61,0.28,add,new candidate
christma tree,61,61,0.28,add,new candidate
toy car,61,61,0.28,skip,already in label list
board,60,54,0.25,add,new candidate
bathroom,59,59,0.27,add,new candidate
jacket,59,59,0.27,add,new candidate
bus,59,56,0.26,skip,already in label list
pair,59,54,0.25,add,new candidate
car seat,57,57,0.26,skip,already in label list
swing,57,57,0.26,add,new candidate
horse,57,56,0.26,add,new candidate
soup,57,54,0.25,skip,already in label list
phone,56,56,0.26,skip,already in label list
fri mar gmt,56,55,0.25,add,new candidate
tooth,56,55,0.25,add,new candidate
garage,55,55,0.25,skip,already in label list
tree branch,54,54,0.25,add,new candidate
blonde hair,53,53,0.24,add,new candidate
tray,53,52,0.24,add,new candidate
skateboard,52,51,0.23,skip,already in label list
sunset,52,51,0.23,skip,already in label list
watch,52,45,0.21,add,new candidate
air,51,51,0.23,add,new candidate
chicken,50,49,0.22,skip,already in label list
pole,50,49,0.22,add,new candidate
stove,50,48,0.22,skip,already in label list
chocolate,50,43,0.20,add,new candidate
shelf,49,48,0.22,skip,already in label list
flag,49,46,0.21,add,new candidate
wire,49,46,0.21,add,new candidate
taco,49,9,0.04,add,new candidate
ceiling,48,47,0.21,add,new candidate
control,48,47,0.21,add,new candidate
sandwich,48,46,0.21,skip,already in label list
spoon,48,45,0.21,add,new candidate
cloudy sky,47,47,0.21,add,new candidate
fireplace,47,47,0.21,add,new candidate
tie,47,47,0.21,add,new candidate
fruit,47,45,0.21,add,new candidate
kite,46,46,0.21,add,new candidate
lego,46,45,0.21,add,new candidate
patio,46,45,0.21,skip,already in label list
town,46,44,0.20,add,new candidate
